Distance_(microns),Gray_Value
14.0308,1262.043
14.0710,1256.222
14.1112,1210.450
14.1514,1134.565
14.1916,1061.484
14.2318,975.800
14.2720,913.308
14.3122,914.034
14.3524,942.448
14.3926,970.921
14.4328,986.292
14.4730,1007.323
14.5132,1034.654
14.5534,1034.343
14.5936,1026.242
14.6338,993.454
14.6740,968.602
14.7142,960.950
14.7544,986.059
14.7946,1043.409
14.8348,1060.517
14.8750,1059.010
14.9152,1022.618
14.9554,962.325
14.9956,962.499
15.0358,982.428
15.0760,992.292
15.1162,994.085
15.1564,998.025
15.1966,1017.226
15.2368,1027.536
15.2770,1085.540
15.3172,1195.669
15.3575,1251.306
15.3977,1276.878
15.4379,1231.186
15.4781,1134.105
15.5183,1101.647
15.5585,1137.944
15.5987,1199.691
15.6389,1270.353
15.6791,1337.230
15.7193,1406.136
15.7595,1543.700
15.7997,1700.107
15.8399,1779.850
15.8801,1761.715
15.9203,1639.690
15.9605,1551.587
16.0007,1459.659
16.0409,1279.203
16.0811,1160.468
16.1213,1090.260
16.1615,1013.757
16.2017,958.774
16.2419,920.772
16.2821,878.513
16.3223,866.211
16.3625,863.896
16.4027,848.105
16.4429,856.823
16.4831,867.670
16.5233,870.482
16.5635,927.385
16.6037,1057.764
16.6439,1216.505
16.6841,1236.025
16.7243,1126.879
16.7645,1025.654
16.8048,943.776
16.8450,946.301
16.8852,982.053
16.9254,1027.864
16.9656,1095.920
17.0058,1160.422
17.0460,1193.435
17.0862,1206.219
17.1264,1124.795
17.1666,1013.907
17.2068,930.281
17.2470,869.085
17.2872,836.737
17.3274,791.192
17.3676,774.304
17.4078,765.306
17.4480,762.162
17.4882,759.647
17.5284,774.466
17.5686,789.075
17.6088,825.880
17.6490,883.378
17.6892,938.906
17.7294,981.133
17.7696,1000.061
17.8098,984.161
17.8500,975.953
17.8902,980.907
17.9304,986.517
17.9706,979.048
18.0108,982.967
18.0510,962.983
18.0912,954.201
18.1314,975.371
18.1716,1001.196
18.2118,979.931
18.2520,925.946
18.2923,904.131
18.3325,921.327
18.3727,932.973
18.4129,976.567
18.4531,1079.880
18.4933,1189.684
18.5335,1299.586
18.5737,1334.164
18.6139,1266.972
18.6541,1162.010
18.6943,1035.654
18.7345,945.113
18.7747,883.037
18.8149,851.152
18.8551,818.000
18.8953,806.849
18.9355,792.837
18.9757,783.298
19.0159,760.293
19.0561,768.958
19.0963,779.284
19.1365,776.922
19.1767,770.033
19.2169,778.783
19.2571,795.948
19.2973,815.507
19.3375,823.264
19.3777,828.623
19.4179,812.142
19.4581,810.066
19.4983,862.355
19.5385,896.070
19.5787,914.418
19.6189,1002.865
19.6591,1090.647
19.6993,1195.229
19.7395,1347.430
19.7798,1508.212
19.8200,1592.332
19.8602,1650.708
19.9004,1694.444
19.9406,1706.394
19.9808,1766.991
20.0210,1806.313
20.0612,1690.488
20.1014,1466.844
20.1416,1320.096
20.1818,1270.772
20.2220,1235.004
20.2622,1205.345
20.3024,1161.984
20.3426,1076.538
20.3828,1039.557
20.4230,1073.688
20.4632,1149.502
20.5034,1302.026
20.5436,1557.007
20.5838,1645.073
20.6240,1544.475
20.6642,1414.427
20.7044,1361.407
20.7446,1330.075
20.7848,1259.682
20.8250,1150.656
20.8652,1022.051
20.9054,943.829
20.9456,897.687
20.9858,863.065
21.0260,861.850
21.0662,861.591
21.1064,891.620
21.1466,917.410
21.1868,941.690
21.2271,971.587
21.2673,951.147
21.3075,932.054
21.3477,930.224
21.3879,897.547
21.4281,872.007
21.4683,865.296
21.5085,831.969
21.5487,799.667
21.5889,798.003
21.6291,792.352
21.6693,788.970
21.7095,786.437
21.7497,765.329
21.7899,764.029
21.8301,755.739
21.8703,748.635
21.9105,749.717
21.9507,745.976
21.9909,752.545
22.0311,758.437
22.0713,752.939
22.1115,751.521
22.1517,735.498
22.1919,729.528
22.2321,741.480
22.2723,750.042
22.3125,750.229
22.3527,751.506
22.3929,742.099
22.4331,737.368
22.4733,741.360
22.5135,743.249
22.5537,720.117
22.5939,710.679
22.6341,714.610
22.6744,745.574
22.7146,734.272
22.7548,728.789
22.7950,735.000
22.8352,731.300
22.8754,721.770
22.9156,721.147
22.9558,727.530
22.9960,730.695
23.0362,730.304
23.0764,732.822
23.1166,731.245
23.1568,721.021
23.1970,725.288
23.2372,721.104
23.2774,724.201
23.3176,717.309
23.3578,712.789
23.3980,707.780
23.4382,698.756
23.4784,729.888
23.5186,726.393
23.5588,710.940
23.5990,708.935
23.6392,715.122
23.6794,721.176
23.7196,729.643
23.7598,704.614
23.8000,706.365
23.8402,701.933
23.8804,718.424
23.9206,706.944
23.9608,693.462
24.0010,721.714
24.0412,714.445
24.0814,700.842
24.1217,703.182
24.1619,694.957
24.2021,708.101
24.2423,707.848
24.2825,694.289
24.3227,717.193
24.3629,722.703
24.4031,707.610
24.4433,703.168
24.4835,705.147
24.5237,714.622
24.5639,707.976
24.6041,703.289
24.6443,713.640
24.6845,712.276
24.7247,704.066
24.7649,722.187
24.8051,712.164
24.8453,692.347
24.8855,699.493
24.9257,712.482
24.9659,714.788
25.0061,700.060
25.0463,709.220
25.0865,696.530
25.1267,700.640
25.1669,701.946
25.2071,689.724
25.2473,696.720
25.2875,688.392
25.3277,710.578
25.3679,690.479
25.4081,670.551
25.4483,679.898
25.4885,698.369
25.5287,704.851
25.5689,691.087
25.6092,707.329
25.6494,712.129
25.6896,694.315
25.7298,704.449
25.7700,692.780
25.8102,705.997
25.8504,704.750
