Distance_(microns),Gray_Value
14.0308,1453.864
14.0710,1435.443
14.1112,1420.229
14.1514,1410.237
14.1916,1400.245
14.2318,1328.063
14.2720,1247.365
14.3122,1240.000
14.3524,1240.000
14.3926,1183.878
14.4328,1093.691
14.4730,1063.000
14.5132,1063.000
14.5534,1017.086
14.5936,907.002
14.6338,841.000
14.6740,841.000
14.7142,839.138
14.7544,830.495
14.7946,823.000
14.8348,823.000
14.8750,823.000
14.9152,823.923
14.9554,825.000
14.9956,825.000
15.0358,825.000
15.0760,824.083
15.1162,822.542
15.1564,822.000
15.1966,822.000
15.2368,867.984
15.2770,977.996
15.3172,1044.000
15.3575,1044.000
15.3977,1074.748
15.4379,1218.530
15.4781,1348.000
15.5183,1348.000
15.5585,1348.000
15.5987,1531.799
15.6389,1771.425
15.6791,1779.065
15.7193,1752.838
15.7595,1705.509
15.7997,1664.667
15.8399,1658.444
15.8801,1659.000
15.9203,1634.686
15.9605,1583.701
16.0007,1564.608
16.0409,1580.036
16.0811,1578.026
16.1213,1516.238
16.1615,1457.624
16.2017,1461.000
16.2419,1460.564
16.2821,1322.083
16.3223,1135.183
16.3625,1125.000
16.4027,1125.000
16.4429,1052.431
16.4831,928.111
16.5233,890.000
16.5635,890.000
16.6037,873.704
16.6439,834.449
16.6841,811.000
16.7243,811.000
16.7645,798.654
16.8048,744.603
16.8450,694.000
16.8852,694.000
16.9254,694.845
16.9656,741.560
17.0058,806.105
17.0460,809.000
17.0862,809.000
17.1264,790.157
17.1666,756.895
17.2068,747.000
17.2470,747.000
17.2872,737.025
17.3274,712.629
17.3676,698.000
17.4078,698.000
17.4480,698.825
17.4882,701.647
17.5284,704.000
17.5686,704.000
17.6088,704.409
17.6490,700.914
17.6892,695.000
17.7294,695.000
17.7696,695.000
17.8098,697.433
17.8500,705.452
17.8902,715.232
17.9304,723.226
17.9706,724.378
18.0108,712.172
18.0510,702.000
18.0912,702.000
18.1314,703.597
18.1716,710.782
18.2118,718.000
18.2520,718.000
18.2923,718.000
18.3325,721.163
18.3727,726.000
18.4129,726.000
18.4531,726.000
18.4933,699.716
18.5335,650.386
18.5737,637.000
18.6139,637.000
18.6541,628.438
18.6943,607.232
18.7345,595.000
18.7747,595.000
18.8149,601.177
18.8551,626.027
18.8953,650.000
18.9355,650.000
18.9757,648.851
19.0159,626.744
19.0561,594.000
19.0963,594.000
19.1365,594.000
19.1767,637.974
19.2169,723.619
19.2571,746.000
19.2973,746.000
19.3375,758.407
19.3777,790.256
19.4179,809.000
19.4581,809.000
19.4983,820.559
19.5385,863.069
19.5787,906.827
19.6189,920.187
19.6591,933.067
19.6993,933.727
19.7395,925.577
19.7798,932.939
19.8200,940.566
19.8602,949.390
19.9004,961.746
19.9406,974.007
19.9808,981.000
20.0210,955.970
20.0612,891.005
20.1014,854.000
20.1416,854.000
20.1818,847.526
20.2220,821.287
20.2622,795.000
20.3024,795.000
20.3426,793.574
20.3828,773.568
20.4230,742.000
20.4632,742.000
20.5034,742.000
20.5436,744.116
20.5838,748.704
20.6240,750.000
20.6642,750.000
20.7044,739.164
20.7446,710.281
20.7848,694.000
