 ,Area,Circ.,AR,Round,Solidity
1,51.732,0.577,1.296,0.772,0.897
2,68.362,0.750,1.137,0.880,0.924
3,71.297,0.515,1.307,0.765,0.876
4,33.519,0.507,1.767,0.566,0.830
5,40.252,0.596,1.580,0.633,0.881
6,41.863,0.608,2.203,0.454,0.849
7,31.333,0.521,1.883,0.531,0.875
8,40.367,0.739,1.083,0.924,0.904
9,68.995,0.891,1.292,0.774,0.973
10,36.109,0.641,1.517,0.659,0.875
11,46.150,0.699,1.351,0.740,0.898
12,122.885,0.741,1.294,0.773,0.936
13,92.185,0.855,1.279,0.782,0.964
14,66.003,0.514,1.235,0.810,0.833
15,60.910,0.840,1.155,0.866,0.955
16,33.663,0.621,1.411,0.708,0.883
17,89.941,0.631,1.061,0.943,0.936
18,33.289,0.651,1.383,0.723,0.870
19,89.337,0.831,1.425,0.702,0.960
20,36.857,0.732,1.354,0.738,0.943
21,109.046,0.777,1.055,0.948,0.958
22,44.999,0.712,1.520,0.658,0.920
23,80.216,0.632,1.507,0.664,0.910
24,44.999,0.766,1.376,0.727,0.928
25,51.042,0.844,1.251,0.800,0.947
26,110.312,0.795,1.727,0.579,0.967
27,34.066,0.688,1.160,0.862,0.871
28,89.510,0.877,1.358,0.737,0.973
29,78.548,0.814,1.090,0.917,0.958
30,123.518,0.725,1.307,0.765,0.937
31,40.367,0.823,1.193,0.838,0.939
32,61.227,0.532,1.238,0.807,0.859
33,38.900,0.657,1.624,0.616,0.905
34,58.033,0.557,1.511,0.662,0.896
35,95.926,0.861,1.348,0.742,0.971
36,69.369,0.738,1.110,0.901,0.949
37,120.353,0.788,1.837,0.544,0.972
38,134.135,0.840,1.530,0.653,0.976
39,46.783,0.840,1.044,0.958,0.947
40,60.623,0.626,1.529,0.654,0.914
41,89.769,0.837,1.496,0.668,0.970
42,48.452,0.630,1.099,0.910,0.871
43,153.844,0.903,1.055,0.948,0.978
44,98.199,0.884,1.227,0.815,0.971
45,122.425,0.908,1.103,0.907,0.979
46,42.698,0.721,1.269,0.788,0.933
47,138.221,0.909,1.073,0.932,0.979
48,116.268,0.828,1.508,0.663,0.973
49,72.362,0.838,1.456,0.687,0.959
50,32.484,0.793,1.339,0.747,0.930
51,67.355,0.843,1.461,0.684,0.970
52,88.618,0.816,1.564,0.639,0.959
53,67.931,0.624,1.282,0.780,0.904
54,75.728,0.885,1.230,0.813,0.971
55,83.554,0.781,1.061,0.942,0.941
56,52.192,0.598,1.753,0.570,0.906
57,78.001,0.601,1.542,0.648,0.932
58,54.465,0.891,1.158,0.864,0.965
59,124.209,0.630,1.372,0.729,0.939
60,34.095,0.795,1.512,0.661,0.938
61,83.468,0.726,1.398,0.715,0.945
62,44.481,0.633,1.671,0.598,0.893
63,93.567,0.876,1.093,0.915,0.968
64,149.183,0.506,1.278,0.782,0.905
65,34.785,0.863,1.177,0.850,0.944
66,100.414,0.531,1.239,0.807,0.893
67,59.443,0.537,2.407,0.415,0.863
68,101.882,0.878,1.262,0.792,0.975
69,68.161,0.844,1.117,0.895,0.950
70,32.656,0.720,1.522,0.657,0.914
71,34.440,0.630,1.439,0.695,0.914
72,48.193,0.683,1.281,0.781,0.909
73,56.393,0.692,1.273,0.785,0.926
74,102.400,0.686,1.078,0.928,0.943
75,176.228,0.728,1.712,0.584,0.950
76,112.671,0.895,1.087,0.920,0.974
77,103.522,0.573,1.340,0.746,0.879
78,56.997,0.733,1.643,0.609,0.944
79,52.969,0.700,1.204,0.830,0.942
80,46.726,0.559,1.457,0.686,0.826
81,97.595,0.867,1.437,0.696,0.973
82,31.707,0.890,1.227,0.815,0.955
83,66.665,0.818,1.168,0.856,0.960
84,141.501,0.806,1.445,0.692,0.973
85,77.138,0.901,1.114,0.898,0.975
86,59.990,0.914,1.051,0.952,0.968
87,85.971,0.645,1.512,0.661,0.920
88,185.234,0.689,1.734,0.577,0.915
89,42.209,0.526,2.196,0.455,0.818
90,112.153,0.898,1.119,0.894,0.973
91,58.465,0.639,1.164,0.859,0.901
92,128.438,0.805,1.473,0.679,0.951
93,52.135,0.623,1.518,0.659,0.876
94,117.390,0.674,1.160,0.862,0.946
95,70.060,0.571,1.742,0.574,0.881
96,73.541,0.780,1.384,0.722,0.942
97,56.911,0.709,1.528,0.655,0.901
98,104.442,0.733,1.314,0.761,0.917
99,77.799,0.727,1.357,0.737,0.929
100,96.990,0.513,2.770,0.361,0.869
101,162.101,0.701,1.178,0.849,0.926
102,31.189,0.511,1.525,0.656,0.847
103,109.967,0.874,1.113,0.898,0.968
104,72.160,0.741,1.110,0.901,0.923
105,121.648,0.883,1.186,0.843,0.975
106,89.510,0.847,1.185,0.844,0.951
107,34.843,0.681,1.186,0.843,0.898
108,69.484,0.535,1.385,0.722,0.887
109,79.065,0.888,1.186,0.843,0.970
110,128.266,0.575,1.755,0.570,0.885
111,71.815,0.878,1.327,0.753,0.971
112,31.620,0.737,1.938,0.516,0.920
113,69.398,0.905,1.176,0.850,0.974
114,67.010,0.833,1.332,0.751,0.960
115,108.183,0.860,1.219,0.820,0.965
116,94.315,0.887,1.228,0.815,0.975
117,62.032,0.857,1.120,0.892,0.960
118,73.225,0.684,1.661,0.602,0.934
119,75.325,0.863,1.134,0.882,0.960
120,40.281,0.894,1.242,0.805,0.962
121,59.587,0.523,1.992,0.502,0.889
122,49.402,0.571,1.539,0.650,0.843
123,53.257,0.883,1.090,0.918,0.962
124,118.138,0.834,1.480,0.676,0.971
125,182.184,0.732,1.105,0.905,0.945
126,189.866,0.532,1.462,0.684,0.902
127,32.225,0.657,1.648,0.607,0.863
128,70.204,0.855,1.479,0.676,0.971
129,51.502,0.645,1.327,0.754,0.909
130,70.808,0.837,1.236,0.809,0.955
131,55.904,0.783,1.430,0.699,0.951
132,103.781,0.723,1.638,0.610,0.952
133,92.732,0.604,1.126,0.888,0.899
134,53.286,0.857,1.186,0.843,0.957
135,69.715,0.586,1.475,0.678,0.903
136,58.292,0.629,1.060,0.943,0.908
137,49.833,0.822,1.360,0.735,0.949
138,186.932,0.737,1.161,0.861,0.943
139,85.798,0.691,1.304,0.767,0.927
140,53.976,0.581,1.717,0.582,0.878
141,96.271,0.655,2.164,0.462,0.920
142,34.267,0.726,1.468,0.681,0.914
143,48.279,0.875,1.305,0.766,0.960
144,125.762,0.890,1.191,0.840,0.976
145,97.221,0.826,1.260,0.794,0.963
146,116.642,0.671,1.269,0.788,0.919
147,47.675,0.518,1.206,0.829,0.870
148,50.696,0.687,1.690,0.592,0.944
149,80.907,0.511,1.071,0.933,0.839
150,38.468,0.759,1.219,0.820,0.917
151,59.616,0.766,1.225,0.816,0.941
152,62.637,0.791,1.624,0.616,0.956
153,69.139,0.578,1.093,0.915,0.933
154,142.939,0.843,1.510,0.662,0.975
155,76.447,0.791,1.344,0.744,0.955
156,68.017,0.759,1.363,0.734,0.952
157,34.181,0.582,1.250,0.800,0.859
158,32.771,0.747,1.517,0.659,0.942
159,41.604,0.765,1.290,0.775,0.942
160,47.416,0.610,1.330,0.752,0.856
161,127.978,0.689,1.138,0.879,0.914
162,37.260,0.738,1.137,0.880,0.902
163,93.480,0.889,1.311,0.763,0.975
164,61.399,0.878,1.332,0.751,0.968
165,32.743,0.655,1.185,0.844,0.896
166,65.571,0.866,1.502,0.666,0.969
167,33.548,0.549,1.195,0.837,0.851
168,102.112,0.610,1.667,0.600,0.879
169,107.089,0.538,1.250,0.800,0.862
170,86.604,0.847,1.292,0.774,0.966
171,53.228,0.614,1.180,0.848,0.871
172,99.839,0.710,1.345,0.743,0.930
173,74.548,0.826,1.587,0.630,0.966
174,79.353,0.624,1.115,0.896,0.936
175,74.836,0.588,1.344,0.744,0.907
176,58.695,0.677,1.461,0.684,0.922
177,62.263,0.800,1.560,0.641,0.938
178,46.409,0.643,1.154,0.866,0.926
179,46.352,0.667,1.746,0.573,0.928
180,54.264,0.598,1.644,0.608,0.903
181,77.195,0.706,1.200,0.833,0.940
182,93.797,0.519,1.319,0.758,0.889
183,61.630,0.586,1.334,0.750,0.844
184,103.953,0.883,1.049,0.953,0.971
185,50.236,0.515,1.583,0.632,0.852
186,55.444,0.766,1.468,0.681,0.934
187,64.133,0.777,1.379,0.725,0.933
188,110.110,0.861,1.157,0.864,0.967
189,157.009,0.895,1.122,0.891,0.977
190,40.108,0.539,1.083,0.924,0.836
