 ,Area
1,965.444
2,1149.873
3,1329.352
4,1473.356
5,731.269
6,929.364
7,1161.525
8,735.872
9,1580.244
10,1160.950
11,1310.967
12,1407.152
13,1448.209
14,882.869
15,1321.987
16,1662.359
17,996.719
18,1638.881
19,1147.226
20,1435.837
21,1732.851
22,810.306
23,1219.098
24,1093.192
25,1153.843
26,985.498
27,939.089
28,1562.722
