 ,Area,Circ.,AR,Round,Solidity
259,93.394,0.869,1.287,0.777,0.960
260,52.279,0.568,1.310,0.763,0.859
261,36.281,0.663,1.698,0.589,0.893
262,46.467,0.680,1.264,0.791,0.928
263,30.211,0.560,1.509,0.663,0.830
264,68.535,0.878,1.052,0.951,0.971
265,124.813,0.865,1.222,0.818,0.960
266,132.063,0.860,1.284,0.779,0.972
267,74.606,0.673,2.052,0.487,0.916
268,70.722,0.858,1.051,0.951,0.957
269,105.823,0.737,1.161,0.861,0.931
270,94.919,0.646,1.735,0.577,0.932
271,112.096,0.634,1.726,0.579,0.920
272,176.833,0.543,1.123,0.891,0.900
273,166.216,0.888,1.175,0.851,0.978
274,88.330,0.826,1.511,0.662,0.966
275,41.058,0.822,1.090,0.918,0.941
276,133.502,0.867,1.342,0.745,0.977
277,43.647,0.593,1.161,0.861,0.891
278,166.762,0.801,1.465,0.682,0.962
279,181.436,0.881,1.076,0.930,0.977
280,139.113,0.746,1.109,0.902,0.933
281,101.709,0.870,1.204,0.830,0.970
282,50.811,0.826,1.386,0.722,0.949
283,21.752,0.563,1.459,0.685,0.801
284,82.058,0.836,1.161,0.861,0.963
285,134.193,0.887,1.166,0.857,0.977
286,64.392,0.855,1.194,0.838,0.954
287,160.490,0.860,1.150,0.869,0.967
288,113.851,0.873,1.181,0.847,0.975
289,25.492,0.628,1.243,0.805,0.859
290,94.660,0.745,1.850,0.540,0.945
291,84.762,0.675,1.555,0.643,0.937
292,173.610,0.882,1.168,0.856,0.977
293,70.923,0.889,1.270,0.788,0.970
294,171.798,0.612,1.245,0.803,0.898
295,179.451,0.659,1.738,0.575,0.933
296,72.793,0.843,1.366,0.732,0.965
297,79.842,0.853,1.273,0.786,0.961
298,37.835,0.683,1.352,0.740,0.887
299,67.010,0.795,1.428,0.700,0.954
300,124.611,0.785,1.471,0.680,0.963
301,158.649,0.778,1.437,0.696,0.960
302,55.703,0.884,1.031,0.970,0.959
303,83.496,0.877,1.183,0.845,0.970
304,139.976,0.833,1.537,0.651,0.975
305,28.513,0.697,1.357,0.737,0.896
306,18.990,0.637,1.520,0.658,0.843
307,34.526,0.765,1.622,0.616,0.922
308,65.974,0.860,1.372,0.729,0.965
309,26.700,0.501,1.410,0.709,0.739
310,151.974,0.666,1.372,0.729,0.935
311,96.098,0.820,1.464,0.683,0.970
312,54.005,0.754,1.057,0.946,0.935
313,133.301,0.894,1.044,0.958,0.975
314,135.084,0.874,1.179,0.848,0.972
315,61.112,0.625,1.745,0.573,0.897
316,91.955,0.503,1.574,0.635,0.846
317,81.137,0.837,1.109,0.902,0.950
318,76.275,0.845,1.330,0.752,0.959
319,17.896,0.580,1.371,0.730,0.825
320,87.841,0.730,1.567,0.638,0.949
321,39.648,0.575,1.252,0.799,0.896
322,140.868,0.715,1.181,0.847,0.936
323,20.802,0.732,1.237,0.808,0.890
324,23.766,0.660,1.352,0.740,0.885
325,81.367,0.797,1.535,0.651,0.955
326,178.156,0.894,1.042,0.960,0.978
327,67.931,0.891,1.073,0.932,0.970
328,16.688,0.712,1.065,0.939,0.873
329,27.650,0.646,1.541,0.649,0.880
330,112.240,0.873,1.403,0.713,0.976
331,88.503,0.633,1.410,0.709,0.932
332,122.540,0.834,1.298,0.771,0.963
333,26.614,0.581,1.679,0.596,0.873
334,103.924,0.802,1.202,0.832,0.950
335,122.684,0.885,1.258,0.795,0.976
336,125.417,0.846,1.195,0.837,0.969
337,66.665,0.862,1.342,0.745,0.967
338,53.631,0.637,1.518,0.659,0.894
339,17.896,0.766,1.701,0.588,0.953
340,88.963,0.856,1.345,0.743,0.970
341,66.607,0.871,1.314,0.761,0.969
342,21.723,0.819,1.312,0.762,0.961
343,152.866,0.832,1.301,0.769,0.969
344,158.246,0.843,1.439,0.695,0.974
345,138.623,0.775,1.241,0.806,0.950
346,77.454,0.743,1.739,0.575,0.951
347,31.707,0.784,1.571,0.636,0.950
348,41.374,0.706,1.364,0.733,0.916
349,146.823,0.881,1.182,0.846,0.977
350,104.212,0.884,1.251,0.799,0.977
351,154.908,0.710,1.140,0.877,0.942
352,34.325,0.607,1.857,0.539,0.886
353,85.136,0.791,1.422,0.703,0.950
354,30.613,0.570,1.360,0.735,0.828
355,19.910,0.569,1.242,0.805,0.798
356,18.241,0.722,1.510,0.662,0.900
357,203.533,0.500,1.229,0.813,0.899
358,156.922,0.806,1.539,0.650,0.969
359,127.000,0.807,1.405,0.712,0.958
360,16.084,0.719,1.478,0.677,0.891
361,183.680,0.788,1.474,0.678,0.964
362,157.642,0.886,1.185,0.844,0.976
363,141.558,0.844,1.048,0.954,0.968
364,83.583,0.907,1.049,0.953,0.974
365,107.032,0.573,1.318,0.759,0.878
366,124.755,0.758,1.607,0.622,0.962
367,69.168,0.777,1.201,0.833,0.950
368,65.082,0.792,1.246,0.803,0.957
369,17.350,0.742,1.485,0.673,0.902
370,127.834,0.869,1.188,0.842,0.970
371,60.364,0.740,1.354,0.739,0.944
372,22.413,0.625,1.182,0.846,0.867
