 ,Area
1,1377.171
2,1163.395
3,1108.642
4,1247.122
5,1480.520
6,976.176
7,1649.498
8,1441.247
9,598.457
10,718.293
11,1383.213
12,1595.062
13,1701.144
14,1390.896
15,2105.160
16,1859.821
17,1508.084
18,2103.981
19,973.587
20,1551.645
21,1335.481
22,1093.480
23,785.763
24,1153.153
25,1126.193
26,1174.386
27,590.833
